area_code,都道府県,time_code,時間軸(年),都道府県_value,全国_value,cat01_code,10大費目,差分(都道府県-全国)
01000,北海道,2016000000,2016年,98.7,100,00020,食料,-1.2999999999999972
01000,北海道,2016000000,2016年,82.6,100,00030,住居,-17.400000000000006
01000,北海道,2016000000,2016年,116.3,100,00040,光熱・水道,16.299999999999997
01000,北海道,2016000000,2016年,99.3,100,00050,家具・家事用品,-0.7000000000000028
01000,北海道,2016000000,2016年,103.8,100,00060,被服及び履物,3.799999999999997
01000,北海道,2016000000,2016年,100.2,100,00070,保健医療,0.20000000000000284
01000,北海道,2016000000,2016年,99.5,100,00080,交通・通信,-0.5
01000,北海道,2016000000,2016年,93.2,100,00090,教育,-6.799999999999997
01000,北海道,2016000000,2016年,97.1,100,00100,教養娯楽,-2.9000000000000057
01000,北海道,2016000000,2016年,100.9,100,00110,諸雑費,0.9000000000000057
01000,北海道,2016000000,2016年,100.3,100,00120,(参考)家賃を除く総合,0.29999999999999716
01000,北海道,2017000000,2017年,99.8,100,00010,総合,-0.20000000000000284
01000,北海道,2017000000,2017年,99.6,100,00020,食料,-0.4000000000000057
01000,北海道,2017000000,2017年,83.5,100,00030,住居,-16.5
01000,北海道,2017000000,2017年,116.4,100,00040,光熱・水道,16.400000000000006
01000,北海道,2017000000,2017年,99.2,100,00050,家具・家事用品,-0.7999999999999972
01000,北海道,2017000000,2017年,106.3,100,00060,被服及び履物,6.299999999999997
01000,北海道,2017000000,2017年,100.4,100,00070,保健医療,0.4000000000000057
01000,北海道,2017000000,2017年,100.2,100,00080,交通・通信,0.20000000000000284
01000,北海道,2017000000,2017年,90.8,100,00090,教育,-9.200000000000003
01000,北海道,2017000000,2017年,97.8,100,00100,教養娯楽,-2.200000000000003
01000,北海道,2017000000,2017年,99.8,100,00110,諸雑費,-0.20000000000000284
01000,北海道,2017000000,2017年,100.9,100,00120,(参考)家賃を除く総合,0.9000000000000057
01000,北海道,2018000000,2018年,99.8,100,00010,総合,-0.20000000000000284
01000,北海道,2018000000,2018年,100.0,100,00020,食料,0.0
01000,北海道,2018000000,2018年,83.7,100,00030,住居,-16.299999999999997
01000,北海道,2018000000,2018年,114.9,100,00040,光熱・水道,14.900000000000006
01000,北海道,2018000000,2018年,98.4,100,00050,家具・家事用品,-1.5999999999999943
01000,北海道,2018000000,2018年,104.8,100,00060,被服及び履物,4.799999999999997
01000,北海道,2018000000,2018年,100.2,100,00070,保健医療,0.20000000000000284
01000,北海道,2018000000,2018年,100.3,100,00080,交通・通信,0.29999999999999716
01000,北海道,2018000000,2018年,93.4,100,00090,教育,-6.599999999999994
01000,北海道,2018000000,2018年,97.9,100,00100,教養娯楽,-2.0999999999999943
01000,北海道,2018000000,2018年,99.9,100,00110,諸雑費,-0.09999999999999432
01000,北海道,2018000000,2018年,100.9,100,00120,(参考)家賃を除く総合,0.9000000000000057
01000,北海道,2019000000,2019年,99.9,100,00010,総合,-0.09999999999999432
01000,北海道,2019000000,2019年,100.1,100,00020,食料,0.09999999999999432
01000,北海道,2019000000,2019年,84.1,100,00030,住居,-15.900000000000006
01000,北海道,2019000000,2019年,116.4,100,00040,光熱・水道,16.400000000000006
01000,北海道,2019000000,2019年,98.2,100,00050,家具・家事用品,-1.7999999999999972
01000,北海道,2019000000,2019年,104.6,100,00060,被服及び履物,4.599999999999994
01000,北海道,2019000000,2019年,100.4,100,00070,保健医療,0.4000000000000057
01000,北海道,2019000000,2019年,100.1,100,00080,交通・通信,0.09999999999999432
01000,北海道,2019000000,2019年,93.5,100,00090,教育,-6.5
01000,北海道,2019000000,2019年,97.6,100,00100,教養娯楽,-2.4000000000000057
01000,北海道,2019000000,2019年,99.2,100,00110,諸雑費,-0.7999999999999972
01000,北海道,2019000000,2019年,100.9,100,00120,(参考)家賃を除く総合,0.9000000000000057
01000,北海道,2020000000,2020年,100.3,100,00010,総合,0.29999999999999716
01000,北海道,2020000000,2020年,100.2,100,00020,食料,0.20000000000000284
01000,北海道,2020000000,2020年,86.1,100,00030,住居,-13.900000000000006
01000,北海道,2020000000,2020年,116.6,100,00040,光熱・水道,16.599999999999994
01000,北海道,2020000000,2020年,100.9,100,00050,家具・家事用品,0.9000000000000057
01000,北海道,2020000000,2020年,105.2,100,00060,被服及び履物,5.200000000000003
01000,北海道,2020000000,2020年,100.7,100,00070,保健医療,0.7000000000000028
01000,北海道,2020000000,2020年,99.6,100,00080,交通・通信,-0.4000000000000057
01000,北海道,2020000000,2020年,92.7,100,00090,教育,-7.299999999999997
01000,北海道,2020000000,2020年,98.1,100,00100,教養娯楽,-1.9000000000000057
01000,北海道,2020000000,2020年,100.2,100,00110,諸雑費,0.20000000000000284
01000,北海道,2020000000,2020年,101.1,100,00120,(参考)家賃を除く総合,1.0999999999999943
01000,北海道,2021000000,2021年,100.8,100,00010,総合,0.7999999999999972
01000,北海道,2021000000,2021年,100.9,100,00020,食料,0.9000000000000057
01000,北海道,2021000000,2021年,86.0,100,00030,住居,-14.0
01000,北海道,2021000000,2021年,117.4,100,00040,光熱・水道,17.400000000000006
01000,北海道,2021000000,2021年,102.3,100,00050,家具・家事用品,2.299999999999997
01000,北海道,2021000000,2021年,104.6,100,00060,被服及び履物,4.599999999999994
01000,北海道,2021000000,2021年,101.1,100,00070,保健医療,1.0999999999999943
01000,北海道,2021000000,2021年,100.5,100,00080,交通・通信,0.5
01000,北海道,2021000000,2021年,92.9,100,00090,教育,-7.099999999999994
01000,北海道,2021000000,2021年,98.8,100,00100,教養娯楽,-1.2000000000000028
01000,北海道,2021000000,2021年,100.3,100,00110,諸雑費,0.29999999999999716
01000,北海道,2021000000,2021年,101.7,100,00120,(参考)家賃を除く総合,1.7000000000000028
02000,青森県,2013000000,2013年,98.5,100,00010,総合,-1.5
02000,青森県,2013000000,2013年,98.1,100,00020,食料,-1.9000000000000057
02000,青森県,2013000000,2013年,95.8,100,00030,住居,-4.200000000000003
02000,青森県,2013000000,2013年,106.9,100,00040,光熱・水道,6.900000000000006
02000,青森県,2013000000,2013年,98.4,100,00050,家具・家事用品,-1.5999999999999943
02000,青森県,2013000000,2013年,98.7,100,00060,被服及び履物,-1.2999999999999972
02000,青森県,2013000000,2013年,99.0,100,00070,保健医療,-1.0
02000,青森県,2013000000,2013年,100.3,100,00080,交通・通信,0.29999999999999716
02000,青森県,2013000000,2013年,93.6,100,00090,教育,-6.400000000000006
02000,青森県,2013000000,2013年,94.6,100,00100,教養娯楽,-5.400000000000006
02000,青森県,2013000000,2013年,95.8,100,00110,諸雑費,-4.200000000000003
02000,青森県,2013000000,2013年,98.9,100,00120,(参考)家賃を除く総合,-1.0999999999999943
02000,青森県,2014000000,2014年,98.8,100,00010,総合,-1.2000000000000028
02000,青森県,2014000000,2014年,98.0,100,00020,食料,-2.0
02000,青森県,2014000000,2014年,100.8,100,00030,住居,0.7999999999999972
02000,青森県,2014000000,2014年,106.8,100,00040,光熱・水道,6.799999999999997
02000,青森県,2014000000,2014年,94.1,100,00050,家具・家事用品,-5.900000000000006
02000,青森県,2014000000,2014年,97.4,100,00060,被服及び履物,-2.5999999999999943
02000,青森県,2014000000,2014年,99.2,100,00070,保健医療,-0.7999999999999972
02000,青森県,2014000000,2014年,100.8,100,00080,交通・通信,0.7999999999999972
02000,青森県,2014000000,2014年,92.3,100,00090,教育,-7.700000000000003
02000,青森県,2014000000,2014年,95.7,100,00100,教養娯楽,-4.299999999999997
02000,青森県,2014000000,2014年,96.0,100,00110,諸雑費,-4.0
02000,青森県,2014000000,2014年,99.0,100,00120,(参考)家賃を除く総合,-1.0
02000,青森県,2015000000,2015年,98.9,100,00010,総合,-1.0999999999999943
02000,青森県,2015000000,2015年,98.5,100,00020,食料,-1.5
02000,青森県,2015000000,2015年,95.4,100,00030,住居,-4.599999999999994
02000,青森県,2015000000,2015年,107.1,100,00040,光熱・水道,7.099999999999994
02000,青森県,2015000000,2015年,95.7,100,00050,家具・家事用品,-4.299999999999997
02000,青森県,2015000000,2015年,97.7,100,00060,被服及び履物,-2.299999999999997
02000,青森県,2015000000,2015年,101.7,100,00070,保健医療,1.7000000000000028
02000,青森県,2015000000,2015年,100.7,100,00080,交通・通信,0.7000000000000028
02000,青森県,2015000000,2015年,93.4,100,00090,教育,-6.599999999999994
02000,青森県,2015000000,2015年,95.7,100,00100,教養娯楽,-4.299999999999997
02000,青森県,2015000000,2015年,96.8,100,00110,諸雑費,-3.200000000000003
02000,青森県,2015000000,2015年,99.5,100,00120,(参考)家賃を除く総合,-0.5
02000,青森県,2016000000,2016年,98.8,100,00010,総合,-1.2000000000000028
02000,青森県,2016000000,2016年,97.4,100,00020,食料,-2.5999999999999943
02000,青森県,2016000000,2016年,95.7,100,00030,住居,-4.299999999999997
02000,青森県,2016000000,2016年,109.0,100,00040,光熱・水道,9.0
02000,青森県,2016000000,2016年,96.2,100,00050,家具・家事用品,-3.799999999999997
02000,青森県,2016000000,2016年,97.1,100,00060,被服及び履物,-2.9000000000000057
02000,青森県,2016000000,2016年,101.0,100,00070,保健医療,1.0
02000,青森県,2016000000,2016年,100.5,100,00080,交通・通信,0.5
02000,青森県,2016000000,2016年,93.2,100,00090,教育,-6.799999999999997
02000,青森県,2016000000,2016年,96.4,100,00100,教養娯楽,-3.5999999999999943
02000,青森県,2016000000,2016年,97.8,100,00110,諸雑費,-2.200000000000003
02000,青森県,2016000000,2016年,99.4,100,00120,(参考)家賃を除く総合,-0.5999999999999943
02000,青森県,2017000000,2017年,98.3,100,00010,総合,-1.7000000000000028
02000,青森県,2017000000,2017年,97.1,100,00020,食料,-2.9000000000000057
02000,青森県,2017000000,2017年,89.4,100,00030,住居,-10.599999999999994
02000,青森県,2017000000,2017年,108.0,100,00040,光熱・水道,8.0
02000,青森県,2017000000,2017年,96.6,100,00050,家具・家事用品,-3.4000000000000057
02000,青森県,2017000000,2017年,98.4,100,00060,被服及び履物,-1.5999999999999943
02000,青森県,2017000000,2017年,100.0,100,00070,保健医療,0.0
02000,青森県,2017000000,2017年,100.4,100,00080,交通・通信,0.4000000000000057
02000,青森県,2017000000,2017年,92.3,100,00090,教育,-7.700000000000003
02000,青森県,2017000000,2017年,97.1,100,00100,教養娯楽,-2.9000000000000057
02000,青森県,2017000000,2017年,97.5,100,00110,諸雑費,-2.5
02000,青森県,2017000000,2017年,98.8,100,00120,(参考)家賃を除く総合,-1.2000000000000028
02000,青森県,2018000000,2018年,98.6,100,00010,総合,-1.4000000000000057
02000,青森県,2018000000,2018年,97.4,100,00020,食料,-2.5999999999999943
02000,青森県,2018000000,2018年,90.3,100,00030,住居,-9.700000000000003
02000,青森県,2018000000,2018年,108.0,100,00040,光熱・水道,8.0
02000,青森県,2018000000,2018年,97.5,100,00050,家具・家事用品,-2.5
02000,青森県,2018000000,2018年,102.2,100,00060,被服及び履物,2.200000000000003
02000,青森県,2018000000,2018年,99.9,100,00070,保健医療,-0.09999999999999432
02000,青森県,2018000000,2018年,100.4,100,00080,交通・通信,0.4000000000000057
02000,青森県,2018000000,2018年,92.3,100,00090,教育,-7.700000000000003
02000,青森県,2018000000,2018年,96.0,100,00100,教養娯楽,-4.0
02000,青森県,2018000000,2018年,98.2,100,00110,諸雑費,-1.7999999999999972
02000,青森県,2018000000,2018年,99.2,100,00120,(参考)家賃を除く総合,-0.7999999999999972
02000,青森県,2019000000,2019年,98.4,100,00010,総合,-1.5999999999999943
02000,青森県,2019000000,2019年,98.0,100,00020,食料,-2.0
02000,青森県,2019000000,2019年,86.0,100,00030,住居,-14.0
02000,青森県,2019000000,2019年,109.1,100,00040,光熱・水道,9.099999999999994
02000,青森県,2019000000,2019年,97.7,100,00050,家具・家事用品,-2.299999999999997
02000,青森県,2019000000,2019年,102.3,100,00060,被服及び履物,2.299999999999997
02000,青森県,2019000000,2019年,99.1,100,00070,保健医療,-0.9000000000000057
02000,青森県,2019000000,2019年,100.5,100,00080,交通・通信,0.5
02000,青森県,2019000000,2019年,93.5,100,00090,教育,-6.5
02000,青森県,2019000000,2019年,95.2,100,00100,教養娯楽,-4.799999999999997
02000,青森県,2019000000,2019年,98.1,100,00110,諸雑費,-1.9000000000000057
02000,青森県,2019000000,2019年,99.3,100,00120,(参考)家賃を除く総合,-0.7000000000000028
02000,青森県,2020000000,2020年,98.1,100,00010,総合,-1.9000000000000057
02000,青森県,2020000000,2020年,98.0,100,00020,食料,-2.0
02000,青森県,2020000000,2020年,86.4,100,00030,住居,-13.599999999999994
02000,青森県,2020000000,2020年,110.8,100,00040,光熱・水道,10.799999999999997
02000,青森県,2020000000,2020年,99.4,100,00050,家具・家事用品,-0.5999999999999943
02000,青森県,2020000000,2020年,100.4,100,00060,被服及び履物,0.4000000000000057
02000,青森県,2020000000,2020年,98.6,100,00070,保健医療,-1.4000000000000057
02000,青森県,2020000000,2020年,99.0,100,00080,交通・通信,-1.0
02000,青森県,2020000000,2020年,95.6,100,00090,教育,-4.400000000000006
02000,青森県,2020000000,2020年,95.0,100,00100,教養娯楽,-5.0
02000,青森県,2020000000,2020年,94.8,100,00110,諸雑費,-5.200000000000003
02000,青森県,2020000000,2020年,99.0,100,00120,(参考)家賃を除く総合,-1.0
02000,青森県,2021000000,2021年,97.9,100,00010,総合,-2.0999999999999943
02000,青森県,2021000000,2021年,97.5,100,00020,食料,-2.5
02000,青森県,2021000000,2021年,86.4,100,00030,住居,-13.599999999999994
02000,青森県,2021000000,2021年,111.2,100,00040,光熱・水道,11.200000000000003
02000,青森県,2021000000,2021年,98.9,100,00050,家具・家事用品,-1.0999999999999943
02000,青森県,2021000000,2021年,102.0,100,00060,被服及び履物,2.0
02000,青森県,2021000000,2021年,98.5,100,00070,保健医療,-1.5
02000,青森県,2021000000,2021年,99.3,100,00080,交通・通信,-0.7000000000000028
02000,青森県,2021000000,2021年,94.0,100,00090,教育,-6.0
02000,青森県,2021000000,2021年,95.0,100,00100,教養娯楽,-5.0
02000,青森県,2021000000,2021年,94.1,100,00110,諸雑費,-5.900000000000006
02000,青森県,2021000000,2021年,98.9,100,00120,(参考)家賃を除く総合,-1.0999999999999943
03000,岩手県,2013000000,2013年,98.4,100,00010,総合,-1.5999999999999943
03000,岩手県,2013000000,2013年,98.2,100,00020,食料,-1.7999999999999972
03000,岩手県,2013000000,2013年,87.8,100,00030,住居,-12.200000000000003
03000,岩手県,2013000000,2013年,109.2,100,00040,光熱・水道,9.200000000000003
03000,岩手県,2013000000,2013年,102.0,100,00050,家具・家事用品,2.0
03000,岩手県,2013000000,2013年,97.8,100,00060,被服及び履物,-2.200000000000003
03000,岩手県,2013000000,2013年,101.6,100,00070,保健医療,1.5999999999999943
03000,岩手県,2013000000,2013年,100.8,100,00080,交通・通信,0.7999999999999972
03000,岩手県,2013000000,2013年,83.5,100,00090,教育,-16.5
03000,岩手県,2013000000,2013年,97.3,100,00100,教養娯楽,-2.700000000000003
03000,岩手県,2013000000,2013年,95.8,100,00110,諸雑費,-4.200000000000003
03000,岩手県,2013000000,2013年,99.3,100,00120,(参考)家賃を除く総合,-0.7000000000000028
03000,岩手県,2014000000,2014年,97.9,100,00010,総合,-2.0999999999999943
03000,岩手県,2014000000,2014年,96.8,100,00020,食料,-3.200000000000003
03000,岩手県,2014000000,2014年,88.5,100,00030,住居,-11.5
03000,岩手県,2014000000,2014年,110.2,100,00040,光熱・水道,10.200000000000003
03000,岩手県,2014000000,2014年,100.3,100,00050,家具・家事用品,0.29999999999999716
03000,岩手県,2014000000,2014年,94.9,100,00060,被服及び履物,-5.099999999999994
03000,岩手県,2014000000,2014年,100.4,100,00070,保健医療,0.4000000000000057
03000,岩手県,2014000000,2014年,100.9,100,00080,交通・通信,0.9000000000000057
03000,岩手県,2014000000,2014年,84.9,100,00090,教育,-15.099999999999994
03000,岩手県,2014000000,2014年,96.6,100,00100,教養娯楽,-3.4000000000000057
03000,岩手県,2014000000,2014年,95.9,100,00110,諸雑費,-4.099999999999994
03000,岩手県,2014000000,2014年,98.7,100,00120,(参考)家賃を除く総合,-1.2999999999999972
03000,岩手県,2015000000,2015年,99.0,100,00010,総合,-1.0
03000,岩手県,2015000000,2015年,97.5,100,00020,食料,-2.5
03000,岩手県,2015000000,2015年,94.9,100,00030,住居,-5.099999999999994
03000,岩手県,2015000000,2015年,109.6,100,00040,光熱・水道,9.599999999999994
03000,岩手県,2015000000,2015年,101.1,100,00050,家具・家事用品,1.0999999999999943
03000,岩手県,2015000000,2015年,98.9,100,00060,被服及び履物,-1.0999999999999943
03000,岩手県,2015000000,2015年,100.5,100,00070,保健医療,0.5
03000,岩手県,2015000000,2015年,99.8,100,00080,交通・通信,-0.20000000000000284
03000,岩手県,2015000000,2015年,90.2,100,00090,教育,-9.799999999999997
03000,岩手県,2015000000,2015年,98.2,100,00100,教養娯楽,-1.7999999999999972
03000,岩手県,2015000000,2015年,97.4,100,00110,諸雑費,-2.5999999999999943
03000,岩手県,2015000000,2015年,99.6,100,00120,(参考)家賃を除く総合,-0.4000000000000057
03000,岩手県,2016000000,2016年,98.5,100,00010,総合,-1.5
03000,岩手県,2016000000,2016年,96.6,100,00020,食料,-3.4000000000000057
03000,岩手県,2016000000,2016年,89.4,100,00030,住居,-10.599999999999994
03000,岩手県,2016000000,2016年,111.0,100,00040,光熱・水道,11.0
03000,岩手県,2016000000,2016年,102.2,100,00050,家具・家事用品,2.200000000000003
03000,岩手県,2016000000,2016年,97.8,100,00060,被服及び履物,-2.200000000000003
03000,岩手県,2016000000,2016年,100.4,100,00070,保健医療,0.4000000000000057
03000,岩手県,2016000000,2016年,99.7,100,00080,交通・通信,-0.29999999999999716
03000,岩手県,2016000000,2016年,90.1,100,00090,教育,-9.900000000000006
03000,岩手県,2016000000,2016年,99.8,100,00100,教養娯楽,-0.20000000000000284
03000,岩手県,2016000000,2016年,97.0,100,00110,諸雑費,-3.0
03000,岩手県,2016000000,2016年,99.1,100,00120,(参考)家賃を除く総合,-0.9000000000000057
03000,岩手県,2017000000,2017年,98.9,100,00010,総合,-1.0999999999999943
03000,岩手県,2017000000,2017年,97.0,100,00020,食料,-3.0
03000,岩手県,2017000000,2017年,90.2,100,00030,住居,-9.799999999999997
03000,岩手県,2017000000,2017年,111.0,100,00040,光熱・水道,11.0
03000,岩手県,2017000000,2017年,100.4,100,00050,家具・家事用品,0.4000000000000057
03000,岩手県,2017000000,2017年,98.7,100,00060,被服及び履物,-1.2999999999999972
03000,岩手県,2017000000,2017年,100.5,100,00070,保健医療,0.5
03000,岩手県,2017000000,2017年,99.6,100,00080,交通・通信,-0.4000000000000057
03000,岩手県,2017000000,2017年,91.1,100,00090,教育,-8.900000000000006
03000,岩手県,2017000000,2017年,100.6,100,00100,教養娯楽,0.5999999999999943
03000,岩手県,2017000000,2017年,98.6,100,00110,諸雑費,-1.4000000000000057
03000,岩手県,2017000000,2017年,99.5,100,00120,(参考)家賃を除く総合,-0.5
03000,岩手県,2018000000,2018年,99.1,100,00010,総合,-0.9000000000000057
03000,岩手県,2018000000,2018年,97.6,100,00020,食料,-2.4000000000000057
03000,岩手県,2018000000,2018年,90.6,100,00030,住居,-9.400000000000006
03000,岩手県,2018000000,2018年,109.5,100,00040,光熱・水道,9.5
03000,岩手県,2018000000,2018年,99.9,100,00050,家具・家事用品,-0.09999999999999432
03000,岩手県,2018000000,2018年,99.6,100,00060,被服及び履物,-0.4000000000000057
03000,岩手県,2018000000,2018年,101.6,100,00070,保健医療,1.5999999999999943
03000,岩手県,2018000000,2018年,99.4,100,00080,交通・通信,-0.5999999999999943
03000,岩手県,2018000000,2018年,90.5,100,00090,教育,-9.5
03000,岩手県,2018000000,2018年,100.9,100,00100,教養娯楽,0.9000000000000057
03000,岩手県,2018000000,2018年,98.7,100,00110,諸雑費,-1.2999999999999972
03000,岩手県,2018000000,2018年,99.7,100,00120,(参考)家賃を除く総合,-0.29999999999999716
03000,岩手県,2019000000,2019年,99.1,100,00010,総合,-0.9000000000000057
03000,岩手県,2019000000,2019年,97.4,100,00020,食料,-2.5999999999999943
03000,岩手県,2019000000,2019年,93.1,100,00030,住居,-6.900000000000006
03000,岩手県,2019000000,2019年,110.1,100,00040,光熱・水道,10.099999999999994
03000,岩手県,2019000000,2019年,101.1,100,00050,家具・家事用品,1.0999999999999943
03000,岩手県,2019000000,2019年,97.4,100,00060,被服及び履物,-2.5999999999999943
03000,岩手県,2019000000,2019年,100.1,100,00070,保健医療,0.09999999999999432
03000,岩手県,2019000000,2019年,99.2,100,00080,交通・通信,-0.7999999999999972
03000,岩手県,2019000000,2019年,90.0,100,00090,教育,-10.0
03000,岩手県,2019000000,2019年,100.5,100,00100,教養娯楽,0.5
03000,岩手県,2019000000,2019年,98.6,100,00110,諸雑費,-1.4000000000000057
03000,岩手県,2019000000,2019年,99.4,100,00120,(参考)家賃を除く総合,-0.5999999999999943
03000,岩手県,2020000000,2020年,99.0,100,00010,総合,-1.0
03000,岩手県,2020000000,2020年,98.3,100,00020,食料,-1.7000000000000028
03000,岩手県,2020000000,2020年,90.6,100,00030,住居,-9.400000000000006
03000,岩手県,2020000000,2020年,111.7,100,00040,光熱・水道,11.700000000000003
03000,岩手県,2020000000,2020年,100.2,100,00050,家具・家事用品,0.20000000000000284
03000,岩手県,2020000000,2020年,99.0,100,00060,被服及び履物,-1.0
03000,岩手県,2020000000,2020年,100.0,100,00070,保健医療,0.0
03000,岩手県,2020000000,2020年,98.9,100,00080,交通・通信,-1.0999999999999943
03000,岩手県,2020000000,2020年,88.2,100,00090,教育,-11.799999999999997
03000,岩手県,2020000000,2020年,99.4,100,00100,教養娯楽,-0.5999999999999943
03000,岩手県,2020000000,2020年,96.7,100,00110,諸雑費,-3.299999999999997
03000,岩手県,2020000000,2020年,99.5,100,00120,(参考)家賃を除く総合,-0.5
03000,岩手県,2021000000,2021年,99.4,100,00010,総合,-0.5999999999999943
03000,岩手県,2021000000,2021年,98.7,100,00020,食料,-1.2999999999999972
03000,岩手県,2021000000,2021年,90.6,100,00030,住居,-9.400000000000006
03000,岩手県,2021000000,2021年,112.5,100,00040,光熱・水道,12.5
03000,岩手県,2021000000,2021年,99.7,100,00050,家具・家事用品,-0.29999999999999716
03000,岩手県,2021000000,2021年,98.9,100,00060,被服及び履物,-1.0999999999999943
03000,岩手県,2021000000,2021年,100.5,100,00070,保健医療,0.5
03000,岩手県,2021000000,2021年,100.1,100,00080,交通・通信,0.09999999999999432
03000,岩手県,2021000000,2021年,89.7,100,00090,教育,-10.299999999999997
03000,岩手県,2021000000,2021年,99.5,100,00100,教養娯楽,-0.5
03000,岩手県,2021000000,2021年,96.4,100,00110,諸雑費,-3.5999999999999943
03000,岩手県,2021000000,2021年,100.0,100,00120,(参考)家賃を除く総合,0.0
04000,宮城県,2013000000,2013年,98.2,100,00010,総合,-1.7999999999999972
04000,宮城県,2013000000,2013年,97.5,100,00020,食料,-2.5
04000,宮城県,2013000000,2013年,93.3,100,00030,住居,-6.700000000000003
04000,宮城県,2013000000,2013年,100.9,100,00040,光熱・水道,0.9000000000000057
04000,宮城県,2013000000,2013年,97.2,100,00050,家具・家事用品,-2.799999999999997
04000,宮城県,2013000000,2013年,95.6,100,00060,被服及び履物,-4.400000000000006
04000,宮城県,2013000000,2013年,101.1,100,00070,保健医療,1.0999999999999943
04000,宮城県,2013000000,2013年,99.0,100,00080,交通・通信,-1.0
04000,宮城県,2013000000,2013年,99.8,100,00090,教育,-0.20000000000000284
04000,宮城県,2013000000,2013年,99.0,100,00100,教養娯楽,-1.0
04000,宮城県,2013000000,2013年,100.0,100,00110,諸雑費,0.0
04000,宮城県,2013000000,2013年,98.5,100,00120,(参考)家賃を除く総合,-1.5
04000,宮城県,2014000000,2014年,98.2,100,00010,総合,-1.7999999999999972
04000,宮城県,2014000000,2014年,97.4,100,00020,食料,-2.5999999999999943
04000,宮城県,2014000000,2014年,93.9,100,00030,住居,-6.099999999999994
04000,宮城県,2014000000,2014年,101.5,100,00040,光熱・水道,1.5
04000,宮城県,2014000000,2014年,97.1,100,00050,家具・家事用品,-2.9000000000000057
04000,宮城県,2014000000,2014年,94.7,100,00060,被服及び履物,-5.299999999999997
04000,宮城県,2014000000,2014年,100.7,100,00070,保健医療,0.7000000000000028
04000,宮城県,2014000000,2014年,98.9,100,00080,交通・通信,-1.0999999999999943
04000,宮城県,2014000000,2014年,98.1,100,00090,教育,-1.9000000000000057
04000,宮城県,2014000000,2014年,99.2,100,00100,教養娯楽,-0.7999999999999972
04000,宮城県,2014000000,2014年,99.7,100,00110,諸雑費,-0.29999999999999716
04000,宮城県,2014000000,2014年,98.4,100,00120,(参考)家賃を除く総合,-1.5999999999999943
04000,宮城県,2015000000,2015年,98.1,100,00010,総合,-1.9000000000000057
04000,宮城県,2015000000,2015年,96.8,100,00020,食料,-3.200000000000003
